Title,Year,Director,Casting,Ratings,genre
Rosemary's Baby,1968,Roman Polanski,"Mia Farrow,John Cassavetes,Ruth Gordon,Maurice Evans",96,horror
Aliens,1986,James Cameron,"Sigourney Weaver,Carrie Henn,Michael Biehn,Paul Reiser",97,horror
The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine",96,horror
Night of the Living Dead,1968,George A. Romero,"Judith O'Dea,Russell Streiner,Duane Jones,Keith Wayne",97,horror
His House,2020,Remi Weekes,"Sope Dirisu,Wunmi Mosaku,Malaika Wakoli-Abigaba,Matt Smith",100,horror
Freaks,1932,Tod Browning,"Harry Earles,Olga Baclanova,Wallace Ford,Leila Hyams",95,horror
The Night of the Hunter,1955,Charles Laughton,"Robert Mitchum,Shelley Winters,Billy Chapin,Sally Jane Bruce",95,horror
It Follows,2015,David Robert Mitchell,"Maika Monroe,Keir Gilchrist,Daniel Zovatto,Lili Sepe",95,horror
Let the Right One In,2008,Tomas Alfredson,"Kåre Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl",98,horror
Invasion of the Body Snatchers,1956,Don Siegel,"Kevin McCarthy,Dana Wynter,Larry Gates,Carolyn Jones",98,horror
Hereditary,2018,Ari Aster,"Toni Collette,Milly Shapiro,Alex Wolff,Gabriel Byrne",89,horror
Frankenstein,1931,James Whale,"Colin Clive,Boris Karloff,Mae Clarke,John Boles",100,horror
The Lighthouse,2019,Robert Eggers,"Robert Pattinson,Willem Dafoe,Valeriia Karaman",90,horror
The Babadook,2014,Jennifer Kent,"Essie Davis,Noah Wiseman,Barbara West,Daniel Henshall",98,horror
The Bride of Frankenstein,1935,James Whale,"Boris Karloff,Colin Clive,Valerie Hobson,Elsa Lanchester",98,horror
The Invisible Man,2020,Leigh Whannell,"Elisabeth Moss,Aldis Hodge,Storm Reid,Harriet Dyer",91,horror
A Quiet Place,2018,John Krasinski,"Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe",96,horror
Jaws,1975,Steven Spielberg,"Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary",98,horror
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",1922,F.W. Murnau,"Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta Schröder",97,horror
King Kong,1933,Ernest B. Schoedsack,"Fay Wray,Robert Armstrong,Bruce Cabot,Sam Hardy",98,horror
Alien,1979,Ridley Scott,"Sigourney Weaver,Tom Skerritt,Veronica Cartwright,Harry Dean Stanton",98,horror
Us,2019,Jordan Peele,"Lupita Nyong'o,Winston Duke,Elisabeth Moss,Tim Heidecker",93,horror
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),1920,Robert Wiene,"Werner Krauss,Conrad Veidt,Lil Dagover,Rudolf Lettinger",99,horror
Get Out,2017,Jordan Peele,"Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford",98,horror
Psycho,1960,Alfred Hitchcock,"Anthony Perkins,Janet Leigh,Vera Miles,John Gavin",96,horror
